time(s),area,x,y,v_x,v_y,theta,area,x,y,v_x,v_y,theta
  9.457, 393.0, 444.8, 468.9, 212.2,-331.2,0, 511.0, 616.2, 537.3,   3.2,   1.7,0,
  9.520, 403.5, 464.8, 447.6, 319.2,-342.0,0, 508.5, 616.1, 537.5,  -0.9,   2.9,0,
  9.586, 431.0, 486.1, 431.0, 319.2,-248.3,0, 506.0, 615.7, 537.5,  -5.4,  -0.0,0,
  9.653, 401.0, 511.8, 417.8, 387.1,-198.1,0, 508.0, 615.6, 537.4,  -2.2,  -0.9,0,
  9.720, 410.0, 541.1, 408.9, 439.8,-134.7,0, 506.5, 616.1, 537.4,   6.9,  -0.9,0,
  9.790, 380.0, 571.2, 406.4, 428.1, -35.3,0, 511.5, 615.9, 537.5,  -2.2,   1.0,0,
  9.853, 368.0, 597.4, 408.6, 415.0,  35.0,0, 513.0, 615.9, 537.5,  -0.5,   0.9,0,
  9.920, 383.5, 625.3, 416.4, 419.8, 118.0,0, 511.0, 616.0, 537.5,   1.8,   0.1,0,
  9.986, 418.5, 649.7, 429.3, 364.3, 192.2,0, 506.0, 616.2, 537.6,   3.6,   1.4,0,
 10.053, 391.0, 670.7, 446.9, 316.7, 265.6,0, 512.0, 616.1, 537.5,  -1.5,  -2.3,0,
 10.123, 443.5, 687.6, 465.7, 240.8, 267.4,0, 509.5, 615.9, 537.5,  -2.8,   0.5,0,
 10.186, 428.5, 701.0, 490.5, 211.6, 391.9,0, 511.0, 615.8, 537.5,  -2.1,  -0.0,0,
 10.253, 438.5, 709.8, 516.1, 132.5, 385.2,0, 504.5, 616.2, 537.6,   5.6,   2.0,0,
 10.319, 408.5, 712.6, 544.4,  41.8, 424.3,0, 504.5, 616.0, 537.4,  -2.6,  -2.9,0,
 10.386, 422.5, 711.0, 570.0, -24.4, 383.4,0, 500.5, 616.5, 537.4,   6.7,  -0.1,0,
 10.456, 387.5, 705.1, 596.0, -84.8, 371.6,0, 512.5, 616.0, 537.5,  -6.3,   0.8,0,
 10.519, 400.5, 693.2, 624.5,-187.4, 450.6,0, 508.0, 616.1, 537.5,   1.4,  -0.2,0,
 10.586, 439.0, 675.3, 644.0,-268.7, 292.1,0, 507.0, 616.0, 537.5,  -2.1,   0.7,0,
 10.653, 429.0, 654.7, 661.5,-309.6, 262.7,0, 507.5, 615.8, 537.5,  -2.3,   0.1,0,
